time,qdot_1,qdot_2,qdot_3,qdot_4,qdot_5,qdot_6
10.75,0.053701117269234,0.0664008421970443,-0.0868622735818746,0.000318993282033532,-0.0122677993291563,-1.36303988691941e-10
10.8,0.0595658314433021,0.0627479802204763,-0.0823082969008311,0.000347789573254076,-0.0116142438659468,2.45381018124058e-10
10.85,0.0653458155041017,0.0591501876819978,-0.0777896746871155,0.000376329616381745,-0.0109669634819411,2.98984412349283e-10
10.9,0.0710376662824859,0.0556182996555485,-0.0733234151795767,0.000404567628311427,-0.0103282694060853,8.78906644513383e-11
10.95,0.0766375725915323,0.05216318114708,-0.068925986530744,0.00043246721682431,-0.0097003974848382,-9.60770416769279e-13
11,0.082140331533252,0.0487956972725262,-0.0646128214588045,0.00045997215539978,-0.00908542628927916,-4.41164554614251e-10
11.05,0.0875412267401151,0.0455236148810379,-0.0603997949757151,0.000487082628485811,-0.00848552157333034,-1.86108551857484e-10
11.1,0.0928355626717064,0.0423550409634806,-0.0563010322639093,0.000513708106307102,-0.00790258342987269,5.51797195875954e-10
11.15,0.0980236264754579,0.0392989325975125,-0.0523275803900482,0.000539908934809503,-0.0073380729928901,-4.6773679382979e-10
11.2,0.103094292333591,0.0363624437488843,-0.0484934071688115,0.000565621908593604,-0.00679389840926581,4.37951899477608e-10
11.25,0.108037448067331,0.0335516734955752,-0.0448103666355157,0.000590761404641578,-0.00627166038015606,1.84222101613217e-11
11.3,0.112853994026219,0.0308714940152452,-0.0412864074208539,0.0006153303732795,-0.00577239946629976,-4.43773715389111e-10
11.35,0.117538416857649,0.0283263158354661,-0.0379300136667547,0.000639297250033105,-0.00529724762970475,-4.37598581405444e-10
11.4,0.122085208980602,0.0259201530114492,-0.0347482793633999,0.000662633856233652,-0.00484713843771313,3.77099287211969e-10
11.45,0.126488652210278,0.0236560021054609,-0.0317469497439359,0.000685310061870675,-0.00442282726845779,1.14125354296676e-11
11.5,0.130742927376777,0.0215358959696545,-0.0289303163701684,0.00070729146044632,-0.00402486629569321,1.82086630882105e-10
11.55,0.13484217843629,0.0195609006480398,-0.026301212057605,0.000728546084696895,-0.00365360623787769,3.60277070079176e-10
11.6,0.138780536742663,0.0177311103388742,-0.0238610164579262,0.000749040635839512,-0.00330919921016686,1.07708050921027e-11
11.65,0.142552154872525,0.0160456577261104,-0.0216096792371927,0.00076873826191007,-0.00299159985801216,-7.78765473860432e-11
11.7,0.146151227792114,0.0145027289283941,-0.0195457376580564,0.000787605055859867,-0.00270057011007558,2.30545855480518e-10
11.75,0.149572021939634,0.0130995776492037,-0.017666348134931,0.000805605406217813,-0.00243568086519117,4.44345454276574e-11
11.8,0.152808907274217,0.0118325473620161,-0.0159673229499515,0.000822703062094983,-0.00219631711807622,3.75416055172792e-11
11.85,0.155856389667906,0.0106970942269295,-0.0144431682356714,0.000838859407240517,-0.00198168412538871,6.68919311036994e-12
11.9,0.158709145883809,0.00968781854154289,-0.0130871352978537,0.000854039619865706,-0.00179081599254713,7.39785595600251e-11
11.95,0.161362057080701,0.00879849543800269,-0.0118912759567648,0.000868206742495417,-0.00162257999185995,-1.24862011246885e-10
12,0.163810245096565,0.00802211678425402,-0.0108465069542593,0.000881322703468633,-0.00147568390016632,6.99747764521484e-12
12.05,0.166049107367096,0.00735093320878135,-0.00994267691691617,0.000893351232595377,-0.00134869042989551,-2.18648653393601e-12
12.1,0.168074349167042,0.0067765014317131,-0.00916864353555724,0.000904254974306851,-0.00124002664185286,-2.50617152755183e-10
12.15,0.169882018502368,0.00628973811697423,-0.00851235444950713,0.000914001235105946,-0.00114799413282491,7.90452109276395e-11
12.2,0.17146853265213,0.00588097862855576,-0.0079609415014131,0.000922554800353043,-0.00107077315258502,9.23280587382178e-11
12.25,0.172830692860952,0.00554004368677639,-0.00750082014702408,0.000929885632779692,-0.00100645330630631,-1.49599150999943e-11
